Community_ID,Timestamp,community,Country_ID,Comment
1,,ISKCON Benin,1,
2,,ISKCON Botswana,2,
3,,Congo,3,
4,,Cote d'Ivoire,4,
5,,Ghana,5,
6,,Ivory Coast,6,
7,,ISKCON Kenya,7,
8,,Malawi,8,
9,,Mauritius,9,
10,,Sri Jagannatha Mandir,9,
11,,"Sri Sri Krsna Balaram Mandir, Vedic farm",9,
12,,Sri Sri Radha Golokananda Mandir Phoenix ,9,
13,,ISKCON Kaduna,10,
14,,ISKCON Lagos,10,
15,,ISKCON Porthacourt,10,
16,,Nigeria,10,
17,,Reunion Island,11,
18,,ISKCON Cape Town,12,
19,,ISKCON Durban,12,
20,,ISKCON Lenasia,12,
21,,ISKCON Midrand,12,
22,,ISKCON Mpumalanga,12,
23,,ISKCON Pietermaritzburg,12,
24,,ISKCON Pretoria,12,
25,,ISKCON Sandton,12,
26,,ISKCON Soweto,12,
27,,"New Jagannatha Puri, Phoenix",12,
28,,South Africa,12,
29,,ISKCON Tanzania,13,
30,,Togo,14,
31,,Uganda,15,
32,,Zambia,16,
33,,Zimbabwe Sankirtan Team,17,
34,,ISKCON Belorussia,18,
35,,"Benelux: Belgium, Holland, Luxembourg",19,
36,,Sofia,20,
37,,Siem Reap,21,
38,,ISKCON Croatia,22,
39,,Centrum pro vÃ©dskÃ¡ studia,23,
40,,"Centrum pro Vedska Studia, Prague",23,
41,,"Famra Krsnuv Dvur, BeneÅ¡ov",23,
42,,"Harinam Mandir, Prague",23,
43,,"Padayatra, ProstÄ›jov",23,
44,,Prabhupad Bhavan,23,
45,,The whole Czech yatra,23,
46,,Danish Yatra,24,
47,,France,25,
48,,GBC Office,26,
49,,Berlin,27,
50,,Germany,27,
51,,Athens,28,
52,,"Budapest, Hungary",29,
53,,ISKCON Hungary,29,
54,,ISKCON Ireland,30,
55,,Italy,31,
56,,Kazakhstan,32,
57,,ISKCON Kaunas,33,
58,,Vilnius Sri Sri Nitai Gaurasundara temple,33,
59,,Chisinau,34,
60,,Amsterdam,35,
61,,ISKCON The Hague Sri Krishna Dhaam,35,
62,,ISKCON Bergen,36,
63,,"Timisoara, Romania",37,
64,,Russia,38,
65,,Karuna Bhavan,39,
66,,ISKCON Malaga,40,
67,,ISKCON Ukraine,41,
68,,Bhaktivedanta Manor UK,42,
69,,ISKCON Leicester,42,
70,,ISKCON London - SOHO,42,
71,,ISKCON Manchester,42,
72,,ISKCON South London,42,
73,,ISKCON Wales,42,
74,,"Karuna Bhavan, Scotland",42,
75,,Reading,42,
76,,Central Asia,43,
77,,ISKCON Hong Kong,44,
78,,ISKCON Japan,45,
79,,ISKCON Malaysia,46,
80,,Avatharidesh,47,
81,,Balaramdesh,47,
82,,Damodardesh,47,
83,,Gaurangadesh,47,
84,,Kannaiyadesh,47,
85,,Krsnakathadesh,47,
86,,Mathuradesh,47,
87,,Sanatana Dham,47,
88,,Shyamadesh,47,
89,,Ulaanbaatar,48,
90,,ISKCON Nepal,49,
91,,Kathmandu,49,
92,,ISKCON Pakistan,50,
93,,Cebu,51,
94,,Manila,51,
95,,Vraja Eco Village,51,
96,,Gita Reading Society,52,
97,,ISKCON Sri Lanka,53,
98,,Taipei,54,
99,,Iskcon Bangkok- Student Center ,55,
100,,ISKCON Koh Samui,55,
101,,ISKCON Krabi,55,
102,,ISKCON Pattaya,55,
103,,ISKCON Pracha uthit center,55,
104,,ISKCON Radha govinda temple,55,
105,,Thailand,55,
106,,"Abids, Hyderabad",56,
107,,Agartala,56,
108,,Agra,56,
109,,Ahmedabad,56,
110,,Ajmer,56,
111,,Angul,56,
112,,Aravade,56,
113,,"Bahadurgarh , Harayana",56,
114,,Baramati,56,
115,,Bareilly,56,
116,,Baroda,56,
117,,Beed,56,
118,,Bharuch,56,
119,,Bhilwara,56,
120,,Bhopal,56,
121,,Bikaner,56,
122,,Chandigarh,56,
123,,Chennai,56,
124,,Chitradurga,56,
125,,Chittorgarh,56,
126,,Chowpatty,56,
127,,Delhi,56,
128,,Dhanbad ,56,
129,,Dhanbad (Kusum Vihar),56,
130,,Dharwad,56,
131,,Dwaraka,56,
132,,Gangtok,56,
133,,Gaya,56,
134,,Goa,56,
135,,Habibpur,56,
136,,ICC Bangalore,56,
137,,India,56,
138,,ISKCON Badshahpur Gurugram,56,
139,,ISKCON Belgaum,56,
140,,ISKCON Gurugram,56,
141,,ISKCON Haridwar,56,
142,,ISKCON Kukatapally,56,
143,,ISKCON Mehsana,56,
144,,ISKCON Mira Road,56,
145,,ISKCON Nasik,56,
146,,ISKCON Nigdi,56,
147,,ISKCON Nizamabad,56,
148,,ISKCON Seshadripuram Bangalore,56,
149,,ISKCON Vidyanagar,56,
150,,"ISKCON Whitefield, Bangalore",56,
151,,Jaipur,56,
152,,Jalgaon,56,
153,,Jhansi,56,
154,,Jodhpur,56,
155,,Juhu,56,
156,,Kanpur,56,
157,,Kharghar,56,
158,,Kolkata,56,
159,,Kota,56,
160,,Ludhiana,56,
161,,Madikeri,56,
162,,Madurai,56,
163,,"Mangalore, Jagannath Mandir",56,
164,,Mayapur,56,
165,,Mysore ,56,
166,,Nellore,56,
167,,Newtown,56,
168,,NOIDA,56,
169,,Pandharpur,56,
170,,Panihati,56,
171,,Patna,56,
172,,Perambur,56,
173,,Pirpainti,56,
174,,ISKCON Pune,56,
175,,Punjabi Bagh,56,
176,,Rajkot,56,
177,,Rohini New Delhi,56,
178,,Salem,56,
179,,Sawai Madhopur,56,
180,,SHILLONG,56,
181,,Shimoga,56,
182,,Sikar,56,
183,,South Bengaluru,56,
184,,Sri Ganganagar,56,
185,,Tirunelveli,56,
186,,Tirupati,56,
187,,Trivandrum,56,
188,,TSKP Devotees ,56,
189,,Udaipur,56,
