Participation_ID,Timestamp,community_id,campaign_id,year,pledge_count,actual_score_count
1,,1,1,2020,16,16
2,,1,1,2021,1,53
3,,1,1,2022,0,100
4,,2,1,2021,108,120
5,,2,1,2022,0,280
6,,3,1,2022,0,34
7,,4,1,2021,1,15
8,,4,1,2022,0,23
9,,5,1,2020,0,18
10,,5,1,2021,2000,265
11,,5,1,2022,0,1910
12,,6,1,2022,0,100
13,,7,1,2020,10000,12150
14,,7,1,2021,8000,3469
15,,7,1,2022,0,5020
16,,8,1,2021,10,15
17,,8,1,2022,15,18
18,,9,1,2022,0,4760
19,,10,1,2020,32,32
20,,11,1,2020,200,567
21,,11,1,2021,500,1500
22,,12,1,2020,1151,1151
23,,12,1,2021,500,3026
24,,13,1,2021,1,26
25,,14,1,2020,96,96
26,,14,1,2021,1,102
27,,15,1,2021,1,18
28,,16,1,2022,0,2315
29,,17,1,2020,100,106
30,,17,1,2021,200,236
31,,17,1,2022,0,298
32,,18,1,2020,97,97
33,,18,1,2021,1,352
34,,19,1,2020,15000,6008
35,,19,1,2021,1,2365
36,,20,1,2020,200,276
37,,20,1,2021,1,44
38,,21,1,2020,200,200
39,,21,1,2021,1,123
40,,22,1,2021,1,59
41,,23,1,2020,100,100
42,,23,1,2021,1,300
43,,24,1,2021,1,62
44,,25,1,2020,1000,173
45,,25,1,2021,1,647
46,,26,1,2020,30,30
47,,26,1,2021,1,6
48,,27,1,2020,758,758
49,,27,1,2021,1,1490
50,,28,1,2022,0,3237
51,,29,1,2020,148,148
52,,30,1,2022,0,100
53,,31,1,2021,1,45
54,,32,1,2021,200,220
55,,32,1,2022,250,750
56,,33,1,2020,32,18
57,,33,1,2021,20,20
58,,34,1,2020,451,451
59,,35,1,2020,10000,5181
60,,35,1,2021,5000,3759
61,,35,1,2022,0,4521
62,,36,1,2020,0,408
63,,37,1,2020,0,0
64,,38,1,2020,1000,0
65,,38,1,2022,0,1060
66,,39,1,2020,108,0
67,,40,1,2020,299,299
68,,41,1,2020,171,171
69,,42,1,2020,50,50
70,,43,1,2020,11,11
71,,44,1,2020,200,461
72,,45,1,2021,120,1077
73,,45,1,2022,0,1826
74,,46,1,2021,1008,817
75,,47,1,2020,4000,4100
76,,47,1,2021,8000,8739
77,,47,1,2022,0,9254
78,,48,1,2020,400,400
79,,49,1,2021,6000,5979
80,,49,1,2022,0,5902
81,,50,1,2020,5400,3738
82,,51,1,2020,0,0
83,,52,1,2020,5000,2105
84,,53,1,2021,200,281
85,,53,1,2022,1000,1044
86,,54,1,2020,1000,1131
87,,54,1,2021,1200,667
88,,54,1,2022,0,1003
89,,55,1,2020,0,1000
90,,55,1,2022,0,5000
91,,56,1,2020,1447,1447
92,,57,1,2020,222,34
93,,58,1,2020,108,680
94,,59,1,2020,0,0
95,,60,1,2021,500,524
96,,60,1,2022,0,740
97,,61,1,2020,0,225
98,,62,1,2020,1000,979
99,,62,1,2021,432,444
100,,62,1,2022,0,275
101,,63,1,2020,260,260
102,,64,1,2020,1000,5635
103,,64,1,2022,0,4432
104,,65,1,2020,1008,403
105,,66,1,2020,108,392
106,,66,1,2022,0,1267
107,,67,1,2020,3564,3564
108,,68,1,2020,35000,27150
109,,68,1,2021,10000,19240
110,,68,1,2022,0,11600
111,,69,1,2020,5000,2367
112,,69,1,2021,5000,1131
113,,69,1,2022,0,2517
114,,70,1,2020,5500,7017
115,,70,1,2021,1500,5297
116,,70,1,2022,8400,15000
117,,71,1,2020,501,350
118,,71,1,2021,350,319
119,,71,1,2022,0,513
120,,72,1,2020,3000,2654
121,,72,1,2021,3000,3464
122,,72,1,2022,0,3667
123,,73,1,2020,5000,5277
124,,73,1,2021,7000,9000
125,,73,1,2022,0,4000
126,,74,1,2021,1008,1976
127,,75,1,2020,3000,2604
128,,75,1,2021,450,575
129,,75,1,2022,0,629
130,,76,1,2021,900,2200
131,,77,1,2021,200,840
132,,77,1,2022,0,291
133,,78,1,2020,501,1116
134,,78,1,2021,8000,9941
135,,78,1,2022,0,582
136,,79,1,2020,3312,3312
137,,79,1,2021,5000,4313
138,,79,1,2022,0,3716
139,,80,1,2020,1500,10911
140,,80,1,2022,0,16838
141,,81,1,2020,3000,7054
142,,81,1,2022,0,5653
143,,82,1,2020,5000,23117
144,,82,1,2022,0,12510
145,,83,1,2020,200,1491
146,,83,1,2022,0,1260
147,,84,1,2020,3008,16576
148,,84,1,2022,0,8231
149,,85,1,2020,2500,4486
150,,85,1,2022,0,10819
151,,86,1,2020,2460,5525
152,,86,1,2022,0,4804
153,,87,1,2020,1500,4164
154,,87,1,2022,0,1561
155,,88,1,2020,2000,3113
156,,88,1,2022,0,3187
157,,89,1,2020,0,0
158,,90,1,2022,0,14730
159,,91,1,2020,2500,0
160,,92,1,2020,13500,0
161,,93,1,2020,0,0
162,,94,1,2020,500,0
163,,95,1,2020,50,0
164,,96,1,2020,0,0
165,,97,1,2020,1000,585
166,,98,1,2020,0,0
167,,98,1,2021,100,190
168,,99,1,2020,230,230
169,,99,1,2022,0,300
170,,100,1,2020,75,75
171,,101,1,2020,70,70
